School,Type,Cluster,Area,Enrollment,Capacity,Map,Name
Allgood ES,Elementary,Clarkston,Elementary 3,"612","696",Map,
Arabia Mountain HS,High,Magnet and Theme,High,"1170","1581",,
Ashford Park ES,Elementary,Chamblee,Elementary 1,"776","480",Map,
Austin ES,Elementary,Dunwoody,Elementary 1,"818","984",Map,
Avondale ES,Elementary,Druid Hills,Elementary 2,"593","648",Map,
Barack Obama EMST,Elementary,McNair,Elementary 3,"841","984",Map,
Bethune MS,Middle,Towers,Horizon,"702","1290",Map,
Bob Mathis ES,Elementary,Southwest DeKalb,Elementary 3,"420","480",Map,
Bouie Theme,Elementary,Magnet and Theme,Specialty,"610","792",,
Briar Vista ES,Elementary,Druid Hills,Elementary 2,"531","528",Map,
Briarlake ES,Elementary,Lakeside,Elementary 2,"358","480",Map,
Brockett ES,Elementary,Tucker,Elementary 2,"390","504",Map,
Browns Mill ES,Elementary,MLK,Horizon,"378","648",Map,
Canby Lane ES,Elementary,Towers,Elementary 3,"446","648",Map,
Cary Reynolds ES,Elementary,Cross Keys,Elementary 1,"297","624",Map,
Cedar Grove ES,Elementary,Cedar Grove,Elementary 3,"500","672",Map,
Cedar Grove HS,High,Cedar Grove,High,"1066","1271",Map,
Cedar Grove MS,Middle,Cedar Grove,Middle,"640","1290",Map,
Chamblee HS,High,Chamblee,High,"1930","1705",Map,
Chamblee MS,Middle,Chamblee,Middle,"1049","1080",Map,
Champion Theme,Middle,Magnet and Theme,Middle,"765","780",,
Chapel Hill ES,Elementary,Southwest DeKalb,Elementary 3,"499","696",Map,
Chapel Hill MS,Middle,Southwest DeKalb,Middle,"629","1140",Map,
Chesnut ES,Elementary,Dunwoody,Elementary 1,"583","456",Map,
Clarkston HS,High,Clarkston,High,"1510","1333",Map,
Columbia ES,Elementary,Columbia,Elementary 3,"363","696",Map,
Columbia HS,High,Columbia,High,"821","1426",Map,
Columbia MS,Middle,Columbia,Middle,"525","1320",Map,
Coralwood,Other,Other,Specialty,"216","288",,
Cross Keys HS,High,Cross Keys,Horizon,"1745","1271",Map,
DATE,Charter,Charter,Specialty,"761",,,
DECA,High,Magnet and Theme,High,"295","341",,
DeKalb Alternative,Other,Other,Horizon,"127",,,
DeKalb PATH,Charter,Charter,Specialty,"368",,,
DeKalb Prep,Charter,Charter,Specialty,"539",,,
DAA,Elementary,Magnet and Theme,Specialty,"767","1080",,
Doraville United ES,Elementary,Chamblee,Elementary 1,"1002","936",Map,
Dresden ES,Elementary,Cross Keys,Horizon,"605","696",Map,
Druid Hills HS,High,Druid Hills,High,"1471","1395",Map,
Druid Hills MS,Middle,Druid Hills,Middle,"980","1170",Map,
DSA,High,Magnet and Theme,High,"298","744",,
Dunaire ES,Elementary,Clarkston,Elementary 2,"431","672",Map,
Dunwoody ES,Elementary,Dunwoody,Elementary 1,"790","960",Map,
Dunwoody HS,High,Dunwoody,High,"2021","1550",Map,
Eagle Woods,Other,Other,Specialty,"38",,,
Early Learning Center,Other,Other,Specialty,"239",,,
EDC Facilities,Other,Other,Specialty,"24",,,
EDC Services,Other,Other,Specialty,"122",,,
EDC State Schools,Other,Other,Specialty,"24",,,
E L Miller ES,Elementary,Redan,Elementary 3,"450","648",Map,
Elizabeth Andrews HS,High,Magnet and Theme,Horizon,"189","0",,
Evansdale ES,Elementary,Lakeside,Elementary 2,"503","528",Map,
Fairington ES,Elementary,MLK,Horizon,"460","600",Map,
Fernbank ES,Elementary,Druid Hills,Elementary 2,"886","984",Map,
Flat Rock ES,Elementary,MLK,Horizon,"961","960",Map,
Flat Shoals ES,Elementary,McNair,Horizon,"369","600",Map,
Freedom MS,Middle,Clarkston,Middle,"1169","1290",Map,
Globe,Charter,Charter,Specialty,"1093",,,
Hambrick ES,Elementary,Stone Mountain,Elementary 2,"532","672",Map,
Hawthorne ES,Elementary,Lakeside,Elementary 1,"378","432",Map,
Henderson Mill ES,Elementary,Lakeside,Elementary 1,"539","504",Map,
Henderson MS,Middle,Lakeside,Middle,"1344","1590",Map,
Hightower ES,Elementary,Dunwoody,Elementary 1,"602","504",Map,
Huntley Hills ES,Elementary,Chamblee,Elementary 1,"505","504",Map,
ICS,Charter,Charter,Specialty,"503",,,
Idlewood ES,Elementary,Tucker,Elementary 2,"885","768",Map,
Indian Creek ES,Elementary,Clarkston,Elementary 2,"964","1224",Map,
International Student Center,Other,Other,Specialty,"292","0",,
ISC Intensive English,Other,Other,Specialty,,,,
John Lewis ES,Elementary,Cross Keys,Elementary 1,"842","984",Map,
Jolly ES,Elementary,Clarkston,Elementary 2,"789","696",Map,
Kelley Lake ES,Elementary,McNair,Elementary 3,"302","480",Map,
Kingsley ES,Elementary,Dunwoody,Elementary 1,"385","504",Map,
Kittredge Magnet,Elementary,Magnet and Theme,Specialty,"551","408",,
Lakeside HS,High,Lakeside,High,"2224","1705",Map,
Laurel Heights,Other,Other,Specialty,"53",,,
Laurel Ridge ES,Elementary,Druid Hills,Elementary 2,"437","504",Map,
Leadership Prep,Charter,Charter,Specialty,"265",,,
Lithonia HS,High,Lithonia,High,"1564","1426",Map,
Lithonia MS,Middle,Lithonia,Middle,"1064","1230",Map,
Livsey ES,Elementary,Tucker,Elementary 2,"383","312",Map,
Marbut Theme,Elementary,Magnet and Theme,Elementary 3,"428","792",,
Margaret Harris,Other,Other,High,"77",,,
Martin Luther King Jr HS,High,MLK,High,"1352","2046",Map,
McLendon ES,Elementary,Druid Hills,Elementary 2,"329","528",Map,
McNair DLA,Elementary,McNair,Horizon,"452","888",Map,
McNair HS,High,McNair,Horizon,"770","1674",Map,
McNair MS,Middle,McNair,Horizon,"707","1200",Map,
Midvale ES,Elementary,Tucker,Elementary 2,"411","552",Map,
Miller Grove HS,High,Miller Grove,High,"1093","1860",Map,
Miller Grove MS,Middle,Miller Grove,Middle,"606","1110",Map,
Montclair ES,Elementary,Cross Keys,Horizon,"586","648",Map,
Montgomery ES,Elementary,Chamblee,Elementary 1,"724","600",Map,
Murphey Candler ES,Elementary,MLK,Elementary 3,"498","648",Map,
Narvie Harris Theme,Elementary,Magnet and Theme,Specialty,"535","816",,
Oak Grove ES,Elementary,Lakeside,Elementary 1,"428","504",Map,
Oak View ES,Elementary,Cedar Grove,Horizon,"672","960",Map,
Oakcliff Theme,Elementary,Magnet and Theme,Specialty,"621","672",,
Panola Way ES,Elementary,Miller Grove,Horizon,"550","840",Map,
Peachcrest ES,Elementary,Towers,Horizon,"720","984",Map,
Peachtree MS,Middle,Dunwoody,Middle,"1209","1230",Map,
Pine Ridge ES,Elementary,Stephenson,Horizon,"543","840",Map,
Pleasantdale ES,Elementary,Lakeside,Elementary 1,"794","984",Map,
Princeton ES,Elementary,Stephenson,Elementary 3,"749","936",Map,
Rainbow ES,Elementary,Southwest DeKalb,Elementary 3,"333","648",Map,
Redan ES,Elementary,Redan,Elementary 3,"522","696",Map,
Redan HS,High,Redan,High,"1057","1736",Map,
Redan MS,Middle,Redan,Middle,"539","1290",Map,
Robert Shaw Theme,Elementary,Magnet and Theme,Specialty,"321","504",,
Rock Chapel ES,Elementary,Stephenson,Elementary 3,"375","552",Map,
Rockbridge ES,Elementary,Stone Mountain,Elementary 2,"790","984",Map,
Rowland ES,Elementary,Towers,Elementary 3,"375","552",Map,
Sagamore Hills ES,Elementary,Lakeside,Elementary 1,"413","456",Map,
Salem MS,Middle,MLK,Horizon,"814","1200",Map,
Sequoyah MS,Middle,Cross Keys,Middle,"1522","1170",Map,
Shadow Rock Center,Other,Other,Specialty,"16","0",,
Shadow Rock ES,Elementary,Redan,Horizon,"449","648",Map,
Smoke Rise ES,Elementary,Tucker,Elementary 2,"1053","984",Map,
Snapfinger ES,Elementary,Columbia,Horizon,"415","864",Map,
Southwest DeKalb HS,High,Southwest DeKalb,High,"1241","1922",Map,
Stephenson HS,High,Stephenson,High,"1228","2077",Map,
Stephenson MS,Middle,Stephenson,Middle,"778","1440",Map,
Stone Mill ES,Elementary,Stone Mountain,Horizon,"588","672",Map,
Stone Mountain ES,Elementary,Stone Mountain,Horizon,"414","600",Map,
Stone Mountain HS,High,Stone Mountain,High,"1213","1209",Map,
Stone Mountain MS,Middle,Stone Mountain,Middle,"961","1410",Map,
Stoneview ES,Elementary,Lithonia,Horizon,"757","720",Map,
Tapestry,Charter,Charter,High,"297",,,
The Museum School,Charter,Charter,Elementary 2,"587",,,
Toney ES,Elementary,Columbia,Elementary 3,"199","600",Map,
Towers HS,High,Towers,Horizon,"781","1302",Map,
Tucker HS,High,Tucker,High,"1705","1736",Map,
Tucker MS,Middle,Tucker,Middle,"1159","1170",Map,
Vanderlyn ES,Elementary,Dunwoody,Elementary 1,"473","552",Map,
Wadsworth Magnet,Elementary,Magnet and Theme,Specialty,"254","600",,
Woodridge ES,Elementary,Miller Grove,Horizon,"385","504",Map,
Woodward ES,Elementary,Cross Keys,Elementary 1,"507","696",Map,
Wynbrooke Theme,Elementary,Magnet and Theme,Specialty,"498","840",,
